station 1				station 2                                                Desire Output
t-3	t-2	t-1	t-0	t-3	t-2	t-1	t-0	t+7
543	543	542	542	467	469	470	471	469
543	542	542	539	469	470	471	471	468
542	542	539	534	470	471	471	471	467
542	539	534	531	471	471	471	471	465
539	534	531	527	471	471	471	470	462
534	531	527	521	471	471	470	470	459
531	527	521	518	471	470	470	470	457
527	521	518	513	470	470	470	469	455
521	518	513	507	470	470	469	468	450
518	513	507	503	470	469	468	467	447
513	507	503	497	469	468	467	465	444
507	503	497	494	468	467	465	462	441
503	497	494	487	467	465	462	459	437
497	494	487	480	465	462	459	457	433
494	487	480	475	462	459	457	455	430
487	480	475	468	459	457	455	450	427
480	475	468	460	457	455	450	447	424
475	468	460	452	455	450	447	444	420
468	460	452	445	450	447	444	441	417
460	452	445	438	447	444	441	437	413
452	445	438	431	444	441	437	433	410
445	438	431	453	441	437	433	430	405
438	431	453	453	437	433	430	427	401
431	453	453	447	433	430	427	424	397
453	453	447	444	430	427	424	420	393
453	447	444	440	427	424	420	417	390
447	444	440	436	424	420	417	413	385
444	440	436	431	420	417	413	410	381
440	436	431	420	417	413	410	405	377
436	431	420	424	413	410	405	401	374
431	420	424	420	410	405	401	397	370
420	424	420	416	405	401	397	393	365
424	420	416	413	401	397	393	390	361
420	416	413	413	397	393	390	385	357
416	413	413	407	393	390	385	381	353
413	413	407	404	390	385	381	377	349
413	407	404	401	385	381	377	374	345
407	404	401	398	381	377	374	370	341
404	401	398	395	377	374	370	365	337
401	398	395	392	374	370	365	361	333
398	395	392	390	370	365	361	357	328
395	392	390	385	365	361	357	353	325
392	390	385	382	361	357	353	349	322
390	385	382	379	357	353	349	345	319
385	382	379	376	353	349	345	341	317
382	379	376	374	349	345	341	337	315
379	376	374	372	345	341	337	333	313
376	374	372	369	341	337	333	328	311
374	372	369	366	337	333	328	325	309
372	369	366	363	333	328	325	322	308
369	366	363	360	328	325	322	319	307
366	363	360	359	325	322	319	317	305
363	360	359	358	322	319	317	315	303
360	359	358	357	319	317	315	313	300
359	358	357	355	317	315	313	311	298
358	357	355	353	315	313	311	309	296
357	355	353	350	313	311	309	308	294
355	353	350	348	311	309	308	307	294
353	350	348	346	309	308	307	305	293
350	348	346	343	308	307	305	303	291
348	346	343	341	307	305	303	300	291
346	343	341	339	305	303	300	298	290
343	341	339	337	303	300	298	296	288
341	339	337	338	300	298	296	294	288
339	337	338	339	298	296	294	294	290
337	338	339	340	296	294	294	293	294
338	339	340	342	294	294	293	291	302
339	340	342	345	294	293	291	291	308
340	342	345	350	293	291	291	290	315
342	345	350	352	291	291	290	288	322
345	350	352	356	291	290	288	288	327
350	352	356	360	290	288	288	290	330
352	356	360	364	288	288	290	294	333
356	360	364	365	288	290	294	302	333
360	364	365	366	290	294	302	308	331
364	365	366	368	294	302	308	315	328
365	366	368	369	302	308	315	322	328
366	368	369	368	308	315	322	327	325
368	369	368	368	315	322	327	330	322
369	368	368	367	322	327	330	333	320
368	368	367	365	327	330	333	333	317
368	367	365	363	330	333	333	331	315
367	365	363	360	333	333	331	328	310
365	363	360	357	333	331	328	328	307
363	360	357	355	331	328	328	325	305
360	357	355	354	328	328	325	322	305
